文物采样点,二氧化硅SiO2,氧化钠Na2O,氧化钾K2O,氧化钙CaO,氧化镁MgO,氧化铝Al2O3,氧化铁Fe2O3,氧化铜CuO,氧化铅PbO,氧化钡BaO,五氧化二磷P2O5,氧化锶SrO,氧化锡SnO2,二氧化硫SO2,玻璃类型,情况,situation
01,69.33,0,9.99,6.32,.87,3.93,1.74,3.87,0,0,1.17,0,0,.39,高钾,无风,0
03部位1,87.05,0,5.19,2.01,0,4.06,0,.78,.25,0,.66,0,0,0,高钾,无风,0
03部位2,61.71,0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,.7,.1,0,0,高钾,无风,0
04,65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,.79,0,0,.36,高钾,无风,0
05,61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,.94,.06,0,.47,高钾,无风,0
06部位1,67.65,0,7.37,0,1.98,11.15,2.39,2.51,.2,1.38,4.18,.11,0,0,高钾,无风,0
06部位2,59.81,0,7.68,5.41,1.73,10.05,6.04,2.18,.35,.97,4.5,.12,0,0,高钾,无风,0
07,92.63,0,0,1.07,0,1.98,.17,3.24,0,0,.61,0,0,0,高钾,风化,1
09,95.02,0,.59,.62,0,1.32,.32,1.55,0,0,.35,0,0,0,高钾,风化,1
10,96.77,0,.92,.21,0,.81,.26,.84,0,0,0,0,0,0,高钾,风化,1
12,94.29,0,1.01,.72,0,1.46,.29,1.65,0,0,.15,0,0,0,高钾,风化,1
13,59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0,高钾,无风,0
14,62.47,3.38,12.28,8.23,.66,9.23,.5,.47,1.62,0,.16,0,0,0,高钾,无风,0
16,65.18,2.1,14.52,8.27,.52,6.18,.42,1.07,.11,0,0,.04,0,0,高钾,无风,0
18,79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,.07,2.36,0,高钾,无风,0
21,76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0,高钾,无风,0
22,92.35,0,.74,1.66,.64,3.5,.35,.55,0,0,.21,0,0,0,高钾,风化,1
27,92.72,0,0,.94,.54,2.51,.2,1.54,0,0,.36,0,0,0,高钾,风化,1
